ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
34,000000;92,000000;2,000000;10000,000000;0,000200;6,163276;-75,619150;431448,364560;681243,270389;431548,364560;681343,270389
34,000000;93,000000;6,000000;10000,000000;0,000600;6,164181;-75,619151;431448,364560;681343,270389;431548,364560;681443,270389
34,000000;102,000000;2,000000;10000,000000;0,000200;6,172322;-75,619161;431448,364560;682243,270389;431548,364560;682343,270389
34,000000;196,000000;1,000000;10000,000000;0,000100;6,257352;-75,619260;431448,364560;691643,270389;431548,364560;691743,270389
34,000000;200,000000;1,000000;10000,000000;0,000100;6,260970;-75,619264;431448,364560;692043,270389;431548,364560;692143,270389
35,000000;92,000000;2,000000;10000,000000;0,000200;6,163277;-75,618246;431548,364560;681243,270389;431648,364560;681343,270389
35,000000;93,000000;2,000000;10000,000000;0,000200;6,164182;-75,618247;431548,364560;681343,270389;431648,364560;681443,270389
35,000000;94,000000;1,000000;10000,000000;0,000100;6,165086;-75,618248;431548,364560;681443,270389;431648,364560;681543,270389
35,000000;102,000000;2,000000;10000,000000;0,000200;6,172323;-75,618257;431548,364560;682243,270389;431648,364560;682343,270389
35,000000;196,000000;2,000000;10000,000000;0,000200;6,257353;-75,618356;431548,364560;691643,270389;431648,364560;691743,270389
35,000000;199,000000;1,000000;10000,000000;0,000100;6,260066;-75,618359;431548,364560;691943,270389;431648,364560;692043,270389
36,000000;94,000000;1,000000;10000,000000;0,000100;6,165087;-75,617345;431648,364560;681443,270389;431748,364560;681543,270389
36,000000;102,000000;2,000000;10000,000000;0,000200;6,172324;-75,617353;431648,364560;682243,270389;431748,364560;682343,270389
36,000000;103,000000;3,000000;10000,000000;0,000300;6,173229;-75,617354;431648,364560;682343,270389;431748,364560;682443,270389
36,000000;104,000000;2,000000;10000,000000;0,000200;6,174133;-75,617355;431648,364560;682443,270389;431748,364560;682543,270389
37,000000;103,000000;4,000000;10000,000000;0,000400;6,173230;-75,616450;431748,364560;682343,270389;431848,364560;682443,270389
37,000000;104,000000;4,000000;10000,000000;0,000400;6,174134;-75,616451;431748,364560;682443,270389;431848,364560;682543,270389
37,000000;105,000000;2,000000;10000,000000;0,000200;6,175039;-75,616452;431748,364560;682543,270389;431848,364560;682643,270389
38,000000;93,000000;2,000000;10000,000000;0,000200;6,164185;-75,615536;431848,364560;681343,270389;431948,364560;681443,270389
38,000000;95,000000;5,000000;10000,000000;0,000500;6,165994;-75,615538;431848,364560;681543,270389;431948,364560;681643,270389
38,000000;103,000000;1,000000;10000,000000;0,000100;6,173231;-75,615546;431848,364560;682343,270389;431948,364560;682443,270389
38,000000;104,000000;4,000000;10000,000000;0,000400;6,174135;-75,615547;431848,364560;682443,270389;431948,364560;682543,270389
38,000000;105,000000;1,000000;10000,000000;0,000100;6,175040;-75,615548;431848,364560;682543,270389;431948,364560;682643,270389
38,000000;197,000000;2,000000;10000,000000;0,000200;6,258261;-75,615645;431848,364560;691743,270389;431948,364560;691843,270389
38,000000;198,000000;3,000000;10000,000000;0,000300;6,259165;-75,615646;431848,364560;691843,270389;431948,364560;691943,270389
39,000000;93,000000;3,000000;10000,000000;0,000300;6,164186;-75,614632;431948,364560;681343,270389;432048,364560;681443,270389
39,000000;94,000000;4,000000;10000,000000;0,000400;6,165091;-75,614633;431948,364560;681443,270389;432048,364560;681543,270389
39,000000;95,000000;2,000000;10000,000000;0,000200;6,165995;-75,614634;431948,364560;681543,270389;432048,364560;681643,270389
39,000000;103,000000;6,000000;10000,000000;0,000600;6,173232;-75,614642;431948,364560;682343,270389;432048,364560;682443,270389
39,000000;104,000000;3,000000;10000,000000;0,000300;6,174136;-75,614644;431948,364560;682443,270389;432048,364560;682543,270389
39,000000;105,000000;1,000000;10000,000000;0,000100;6,175041;-75,614645;431948,364560;682543,270389;432048,364560;682643,270389
39,000000;168,000000;2,000000;10000,000000;0,000200;6,232029;-75,614711;431948,364560;688843,270389;432048,364560;688943,270389
39,000000;169,000000;3,000000;10000,000000;0,000300;6,232934;-75,614712;431948,364560;688943,270389;432048,364560;689043,270389
40,000000;93,000000;1,000000;10000,000000;0,000100;6,164187;-75,613728;432048,364560;681343,270389;432148,364560;681443,270389
